gst-plugins-ugly 1.18.3-1
gstreamer 1.18.3-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-update-icon-cache 1:4.0.1-2
gtk2 2.24.33-1
gtk3 1:3.24.24-2
gtkmm 1:2.24.5-4
gtkmm3 3.24.3-1
gtksourceview-pkgbuild 4-2
gtksourceview3 3.24.11+28+g73e57b57-1
gufw 21.04.0-1
guile 2.2.6-2
gupnp 1.2.4-1
gupnp-dlna 0.10.5+4+gc947eed-2
gupnp-igd 1.2.0-1
gutenprint 5.3.4-1
gvfs 1.46.2-1
gvfs-afc 1.46.2-1
gvfs-gphoto2 1.46.2-1
gvfs-mtp 1.46.2-1
gvfs-smb 1.46.2-1
gvim 8.2.2347-1
gzip 1.10-3
harfbuzz 2.7.4-1
harfbuzz-icu 2.7.4-1
hdparm 9.58-3
hexchat 2.14.3-6
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
highlight 3.60-1
hplip 1:3.20.11-2
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-en_US 2019.10.06-1
hwids 20200813.1-1
hwinfo 21.71-1
hwloc 2.4.0-1
hyphen 2.8.8-3
hyphen-en 2.8.8-3
i3-default-artwork 20190912-1
i3-gaps 4.19-1
i3-help 20180110-1
i3-scripts 20200804-1
i3-scrot 2.1-1
i3exit 20201126-1
i3lock 2.13-1
i3status-manjaro 2.13-3
iana-etc 20201229-1
icu 68.2-1
ijs 0.35-3
imagemagick 7.0.10.58-1
imlib2 1.7.1-1
inetutils 1.9.4-8
intel-ucode 20201118-1
inxi 3.2.02.2-1
iproute2 5.10.0-2
iptables 1:1.8.6-1
iputils 20200821-1
iso-codes 4.5.0-1
iw 5.9-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.19-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
jre-openjdk 15.0.1.u9-1
jre-openjdk-headless 15.0.1.u9-1
js78 78.6.0-1
json-c 0.15-1
json-glib 1.6.0-1
jsoncpp 1.9.4-1
kaccounts-integration 20.12.1-1
kactivities 5.78.0-1
kactivities-stats 5.78.0-1
kactivitymanagerd 5.20.5-1
karchive 5.78.0-1
kauth 5.78.0-1
